text,intent,action,target_group,parameter,value_type
"у Демпфер стальной МУ-99 количество 1.8, у Манжета свинцовый ВП-856 количество 6",multi_set_parameter,set_multiple,all,quantity,absolute
увеличь робот. операции to на 8%,update_parameter,increase,роботизированная операция,service_time,percent
"установи время наладки: Кронштейн КО 771 4.0, Опора сварной МУ 627 20",multi_set_parameter,set_multiple,all,setup_time,absolute
измени первоначальные инвестиции на 500000,set_parameter,set,all,initial_investment,absolute
"для Звёздочка приводная ЗП-18 оперативное время 20, а для Втулка В-8 оперативное время 9",multi_set_parameter,set_multiple,all,top,absolute
прибавь роботизированные звенья максимальное отклонение на 3%,update_parameter,increase,роботизированная операция,max_deviation,percent
снизь оперативное время у домкратов в 4 раза,update_parameter,decrease,all,top,factor
пожалуйста запусти музыку,unknown,none,none,none,none
нарасти у сборки риск-потери на 15%,update_parameter,increase,сборка,risk_losses,percent
"установи переналадку: Поршень Z 784 60, Кронштейн опорный КО-2 12",multi_set_parameter,set_multiple,all,setup_time,absolute
установи время наладки для у всех до 3.0,set_parameter,set,all,setup_time,absolute
"Компрессор червячный РЭ-97 переналадки 2, Цилиндр гидравлический ЦГ-16 10",multi_set_parameter,set_multiple,all,setup_time,absolute
увеличь стоимость у всех станков на 8%,update_parameter,increase,all,cost,percent
подними операционные затраты у сборки на 2,update_parameter,increase,сборка,operating_costs,absolute
"установи такт производства: Вал механический Ф284 4.0, Вал сварной РЧ 985 9",multi_set_parameter,set_multiple,all,takt,absolute
"установи загрузки: Шуруповёрт торцевой КС-592 60, Демпфер приводной АРТ707 0.6",multi_set_parameter,set_multiple,all,kz,absolute
Направляющая свинцовый Ф-603 переналадки 5,set_parameter,set,all,setup_time,absolute
поменяй потери по рискам операции равным 4,set_parameter,set,операция,risk_losses,absolute
увеличь время переналадки втрое,update_parameter,increase,all,setup_time,factor
"у Статор В-993 поставь объём 2.5, а у Плазморез свинцовый P/N734 5",multi_set_parameter,set_multiple,all,quantity,absolute
убавь базовый убыток у редуктора на 12%,update_parameter,decrease,редуктор,base_loss,percent
поменяй у операция станков на робота 2.5,set_parameter,set,операция,max_machines_per_robot,absolute
у РЦ-1 убавь количество втрое,update_parameter,decrease,all,quantity,factor
"для РЦ-4 поставь стоимость 1000, для РЦ-2 40",multi_set_parameter,set_multiple,редуктор,cost,absolute
"Кулачок Ф-582 коэффициент загрузки 1.2, Крышка усиленный В 605 коэффициент загрузки 40, Клапан упругий УТ 483 коэффициент загрузки 5",multi_set_parameter,set_multiple,all,kz,absolute
"Золотник КН655 время операции 250, Поршень Z 784 время операции 3, Демпфер опорный ПП 649 время операции 9",multi_set_parameter,set_multiple,all,top,absolute
"для Вал механический АРТ-387 объем 25, а для Муфта свинцовый КН-654 объем 9",multi_set_parameter,set_multiple,all,quantity,absolute
"убавь эксплуатационные расходы , переналадки у всех операций на 7 процентов",update_parameter,decrease,all,operating_costs,percent
подними потери от рисков для роботизированные звенья на 5 процентов,update_parameter,increase,роботизированная операция,risk_losses,percent
"у Кулачок Ф-582 поставь такт 0.6, а у Плазморез опорный РЭ 968 25",multi_set_parameter,set_multiple,all,takt,absolute
"Манжета стальной МУ186 затраты 7, Демпфер стальной МУ-99 затраты 30",multi_set_parameter,set_multiple,all,cost,absolute
"Генератор паронитовый РЭ297 такт производства 100, Фланец червячный МУ278 такт производства 1500",multi_set_parameter,set_multiple,all,takt,absolute
"для Вал механический АРТ-387 такт производства 9, а для Шуруповёрт усиленный Ф-420 такт производства 3",multi_set_parameter,set_multiple,all,takt,absolute
сократи стоимости у всех гайковёртов на 3,update_parameter,decrease,all,cost,absolute
у Насос сварной S 505 понизь оперативное время на 12%,update_parameter,decrease,all,top,percent
"у Демпфер промышленный РЧ 323 поставь время операции 20, а у Шуруповёрт усиленный Ф-420 750",multi_set_parameter,set_multiple,all,top,absolute
понизь станков на робота всех редукторов на 20%,update_parameter,decrease,редуктор,max_machines_per_robot,percent
слушай где находится отчёт,unknown,none,none,none,none
увеличь время операции у всё на 12%,update_parameter,increase,all,top,percent
нарасти все позиции приток на 10 процентов,update_parameter,increase,all,inflow,percent
"установи такт: Шпиндель ШП-1 750, Фланец торцевой ВП 365 12",multi_set_parameter,set_multiple,all,takt,absolute
нарасти у всех плазменных резаков top вчетверо,update_parameter,increase,all,top,factor
"Манжета P/N773 стоимости 0.6, Клапан стальной МУ-277 стоимости 150",multi_set_parameter,set_multiple,all,cost,absolute
"Уплотнение торцевое УТ-50 загрузку 1200, Перфоратор механический ВП 854 загрузку 0.8, Генератор червячный КО-200 загрузку 1.8",multi_set_parameter,set_multiple,all,kz,absolute
"для Ротор свинцовый МУ128 задай загрузки 0.9, для Домкрат торцевой РЧ 332 750",multi_set_parameter,set_multiple,all,kz,absolute
сократи вентилятор эксплуатационные затраты на 7 процентов,update_parameter,decrease,вентилятор,operating_costs,percent
у Шпиндель ШП-1 прибавь такт выпуска на 3%,update_parameter,increase,all,takt,percent
у Толкатель Т-11 увеличь kz на 7 процентов,update_parameter,increase,all,kz,percent
"Шестерня Z-32 цену 250, Манжета стальной МУ186 750",multi_set_parameter,set_multiple,all,cost,absolute
добавь 5 новых позиций всех редукторов с разными параметрами,create_items,create,редуктор,quantity,count
подними у редуктор время операции на 25 процентов,update_parameter,increase,редуктор,top,percent
создай 2 копии ВЦ-3,copy_items,copy,вентилятор,none,count
показать все записи для правки,show_items,show,all,none,none
понизь у всех все операции фонд времени на 3%,update_parameter,decrease,операция,time_fund,percent
увеличь количество для операции на 15%,update_parameter,increase,операция,quantity,percent
"для Болгарка промышленный МУ832 задай такт производства 30, для Демпфер стальной МУ-99 0.75",multi_set_parameter,set_multiple,all,takt,absolute
уменьши вентиляторы объем на 12%,update_parameter,decrease,вентилятор,quantity,percent
задай эксплуатационные затраты у операции сборки равным 4,set_parameter,set,сборка,operating_costs,absolute
у Втулка облегчённый Ф-497 повысь объем выпуска на 3%,update_parameter,increase,all,quantity,percent
нарасти у всех операций ставки дисконтирования на 3%,update_parameter,increase,операция,discount_rate,percent
"для Манжета торцевой ВП 44 задай загрузку 1200, для Демпфер стальной МУ-99 40",multi_set_parameter,set_multiple,all,kz,absolute
"установи оперативное время: Золотник усиленный РЭ 44 0.6, Редуктор червячный ВП 965 5",multi_set_parameter,set_multiple,all,top,absolute
сократи для операции сборки затраты на 5 процентов,update_parameter,decrease,сборка,cost,percent
"Кронштейн приводной КО 237 стоимость 8, Шпиндель опорный P/N255 1.8",multi_set_parameter,set_multiple,all,cost,absolute
"увеличь переналадка , kz у всех сварочных аппаратов на 0.1",update_parameter,increase,all,setup_time,absolute
"Генератор гидравлический СТ 860 такт 0.75, Демпфер ДМ-3 такт 3.5, Редуктор свинцовый Ф-897 такт 750",multi_set_parameter,set_multiple,all,takt,absolute
прибавь всё дополнительные инвестиции на 5 процентов,update_parameter,increase,all,additional_investment,percent
у Кронштейн литой УТ818 подними стоимости на 3%,update_parameter,increase,all,cost,percent
Втулка литой МУ492 время операции равным 0.8,set_parameter,set,all,top,absolute
поменяй для у всех фонд рабочего времени равным 4,set_parameter,set,all,time_fund,absolute
поменяй время наладки для у всех до 3.0,set_parameter,set,all,setup_time,absolute
"Компрессор гидравлический КС 667 стоимости 250, Корпус облегчённый Z 980 500",multi_set_parameter,set_multiple,all,cost,absolute
установи для вентиляторов ставку дисконтирования равным 0.8,set_parameter,set,вентилятор,discount_rate,absolute
"Плазморез свинцовый P/N734 такт выпуска 100, Кронштейн усиленный РЧ957 такт выпуска 4.0",multi_set_parameter,set_multiple,all,takt,absolute
повысь для всех базовые потери на 5,update_parameter,increase,all,base_loss,absolute
"Шпиндель ШП-1 переналадки 25, Насос гидравлический КО-168 5",multi_set_parameter,set_multiple,all,setup_time,absolute
"Редуктор электрический РЭ-68 такт выпуска 0.75, Лебёдка червячный Z315 150",multi_set_parameter,set_multiple,all,takt,absolute
задай для у всех операционные затраты до 2.0,set_parameter,set,all,operating_costs,absolute
"для Насос PUMP-25 задай затраты 2, для Вал приводной АРТ 462 1000",multi_set_parameter,set_multiple,all,cost,absolute
увеличь эксплуатационные затраты всё на 8%,update_parameter,increase,all,operating_costs,percent
повысь сборку цену на 2,update_parameter,increase,сборка,cost,absolute
сократи kz на 15%,update_parameter,decrease,all,kz,percent
повысь затраты на обслуживание у вентиляторов на 20%,update_parameter,increase,вентилятор,maintenance_costs,percent
прибавь все позиции объём выпуска на 15%,update_parameter,increase,all,quantity,percent
убавь у робот. операции доступный фонд времени на 0.2,update_parameter,decrease,роботизированная операция,time_fund,absolute
"для Втулка свинцовый УТ-916 затраты 0.8, а для Демпфер свинцовый КО-701 затраты 6",multi_set_parameter,set_multiple,all,cost,absolute
понизь для вентиляторов начальные инвестиции на 15%,update_parameter,decrease,вентилятор,initial_investment,percent
снизь переналадка у робот. операции на 10 процентов,update_parameter,decrease,роботизированная операция,setup_time,percent
зафиксируй время операции для вентиляторы 2.5,set_parameter,set,вентилятор,top,absolute
повысь порог окупаемости у всех редукторов на 20%,update_parameter,increase,редуктор,profitability_threshold,percent
Вал сварной РЧ 985 время переналадки до 3.0,set_parameter,set,all,setup_time,absolute
повысь робот. операции переналадку на 15%,update_parameter,increase,роботизированная операция,setup_time,percent
выстави вентилятора доп инвестиции до 3.0,set_parameter,set,вентилятор,additional_investment,absolute
"Подшипник приводной МУ-147 объём 0.8, Кронштейн КС 520 объём 4.0, Демпфер ДМ-3 объём 20",multi_set_parameter,set_multiple,all,quantity,absolute
измени для роботизированную операцию максимальное отклонение 3.5,set_parameter,set,роботизированная операция,max_deviation,absolute
убавь у всех допустимое отклонение на 7 процентов,update_parameter,decrease,all,max_deviation,percent
снизь ставки дисконтирования у вентиляторов на 2,update_parameter,decrease,вентилятор,discount_rate,absolute
поменяй редуктор доп. инвестиции 5,set_parameter,set,редуктор,additional_investment,absolute
Насос усиленный ВП-808 объём до 3.0,set_parameter,set,all,quantity,absolute
"у Двигатель паронитовый P/N293 поставь стоимости 9, а у Поршень Z 784 0.75",multi_set_parameter,set_multiple,all,cost,absolute
"установи такт производства: Ротор упругий Ф 137 30, Редуктор свинцовый Ф-897 1500",multi_set_parameter,set_multiple,all,takt,absolute
пожалуйста покажи последние новости,unknown,none,none,none,none
"установи загрузки: Редуктор свинцовый Ф-897 3.5, Насос гидравлический КО-168 4.0",multi_set_parameter,set_multiple,all,kz,absolute
сделай редукторы фонд времени 5,set_parameter,set,редуктор,time_fund,absolute
убавь потери от рисков робот. операции на 20%,update_parameter,decrease,роботизированная операция,risk_losses,percent
"у Шестерня электрический КН 436 поставь цену 8, а у Двигатель паронитовый СТ 286 100",multi_set_parameter,set_multiple,all,cost,absolute
"у 1 года установи денежные притоки 1.8, а у 4 года 0.75",multi_set_parameter,set_multiple,economics,inflow,absolute
задай первоначальные инвестиции на 0.2,set_parameter,set,all,initial_investment,absolute
нарасти операций сборки объем выпуска на 7 процентов,update_parameter,increase,сборка,quantity,percent
Перфоратор торцевой РЭ-254 объём 5,set_parameter,set,all,quantity,absolute
у Клемма свинцовая КС-1 подними оперативное время на 10,update_parameter,increase,all,top,absolute
убавь максимум станков для для всех на 3,update_parameter,decrease,all,max_machines_per_robot,absolute
снизь у болгарок объём выпуска в 2 раза,update_parameter,decrease,all,quantity,factor
задай для сборку переналадки равным 12,set_parameter,set,сборка,setup_time,absolute
"у Шестерня гидравлический В 566 загрузку 11, у Кронштейн механический МУ 352 загрузку 3",multi_set_parameter,set_multiple,all,kz,absolute
"для Сепаратор гидравлический СТ359 задай такт производства 3, для Сальник свинцовый АРТ 947 15",multi_set_parameter,set_multiple,all,takt,absolute
отбери все всё для редактирования,show_items,show,all,none,none
"Кронштейн КС 520 затраты 10, Манжета стальной МУ186 затраты 250",multi_set_parameter,set_multiple,all,cost,absolute
"для Втулка свинцовый УТ-916 задай оперативное время 9, для Звёздочка усиленный Ф 839 4.0",multi_set_parameter,set_multiple,all,top,absolute
прибавь базовый убыток операций сборки на 12%,update_parameter,increase,сборка,base_loss,percent
понизь роботизированные звенья такт на 0.1,update_parameter,decrease,роботизированная операция,takt,absolute
"для Домкрат паронитовый Z555 задай стоимости 1500, для Кулачок Ф-582 0.75",multi_set_parameter,set_multiple,all,cost,absolute
убавь все позиции начальные инвестиции на 8%,update_parameter,decrease,all,initial_investment,percent
уменьши операции начальные инвестиции на 3%,update_parameter,decrease,операция,initial_investment,percent
увеличь сборку эксплуатационные расходы на 3%,update_parameter,increase,сборка,operating_costs,percent
подними станков на робота для всех позиций на 7 процентов,update_parameter,increase,all,max_machines_per_robot,percent
Болгарка промышленный P/N-670 такт производства равным 0.8,set_parameter,set,all,takt,absolute
"Перфоратор гидравлический P/N 958 затраты 12, Манжета литой ВП250 затраты 8",multi_set_parameter,set_multiple,all,cost,absolute
"Редуктор приводной P/N-357 такт выпуска 10, Золотник КН655 такт выпуска 15, Шпиндель стальной Z 140 такт выпуска 1.2",multi_set_parameter,set_multiple,all,takt,absolute
сделай затраты на обслуживание роботизированную операцию равным 0.8,set_parameter,set,роботизированная операция,maintenance_costs,absolute
зафиксируй у всех позиций максимальное допустимое отклонение 5,set_parameter,set,all,max_deviation,absolute
прибавь всё затраты на обслуживание на 3,update_parameter,increase,all,maintenance_costs,absolute
увеличь вентиляторы доп. инвестиции на 30 процентов,update_parameter,increase,вентилятор,additional_investment,percent
сократи у всех все позиции порог рентабельности на 10,update_parameter,decrease,all,profitability_threshold,absolute
"у Кулачок паронитовый P/N 934 поставь такт выпуска 11, а у Двигатель паронитовый P/N293 10",multi_set_parameter,set_multiple,all,takt,absolute
"у Втулка В-8 переналадки 25, у Домкрат свинцовый ПП-356 переналадки 750",multi_set_parameter,set_multiple,all,setup_time,absolute
зафиксируй затраты на обслуживание для операция 5,set_parameter,set,операция,maintenance_costs,absolute
"для Шуруповёрт стальной S234 такт выпуска 15, а для Лебёдка червячный Z315 такт выпуска 30",multi_set_parameter,set_multiple,all,takt,absolute
"для Редуктор приводной P/N-218 задай стоимость 10, для Редуктор стальной УТ221 20",multi_set_parameter,set_multiple,all,cost,absolute
понизь у вентилятор затраты на обслуживание на 15%,update_parameter,decrease,вентилятор,maintenance_costs,percent
сократи редуктор объём выпуска на 1.5,update_parameter,decrease,редуктор,quantity,absolute
"Редуктор свинцовый МУ518 загрузки 10, Золотник усиленный РЭ 44 загрузки 2.5, Демпфер стальной МУ-99 загрузки 18",multi_set_parameter,set_multiple,all,kz,absolute
увеличь переналадку у всех лобзиков на 0.1,update_parameter,increase,all,setup_time,absolute
поменяй для всех позиций ставки дисконтирования 2.5,set_parameter,set,all,discount_rate,absolute
снизь у всех для всех сервисное время на 0.1,update_parameter,decrease,all,service_time,absolute
"уменьши цену , коэффициент загрузки у всех болгарок на 12%",update_parameter,decrease,all,cost,percent
сделай денежные притоки для все позиции равным 4,set_parameter,set,all,inflow,absolute
"установи цену: Генератор стальной КН343 10, Демпфер свинцовый КО-701 60",multi_set_parameter,set_multiple,all,cost,absolute
добавь 8 позиций операции разного сечения,create_items,create,операция,section,count
у Звёздочка приводная ЗП-18 увеличь переналадки на 30 процентов,update_parameter,increase,all,setup_time,percent
выстави станков на робота операций 5,set_parameter,set,операция,max_machines_per_robot,absolute
"у Манжета промышленный ПП-630 поставь объем выпуска 2000, а у Перфоратор гидравлический P/N 958 250",multi_set_parameter,set_multiple,all,quantity,absolute
"установи оперативное время: Муфта свинцовый КН-654 60, Шестерня литой В-887 1.8",multi_set_parameter,set_multiple,all,top,absolute
отбери все вентилятор в списке,show_items,show,вентилятор,none,none
снизь всех операций затраты на обслуживание на 12%,update_parameter,decrease,операция,maintenance_costs,percent
"у Вал сварной РЧ 985 коэффициент загрузки 25, у Кронштейн стальной УТ495 коэффициент загрузки 750",multi_set_parameter,set_multiple,all,kz,absolute
убавь операций такт выпуска на 0.05,update_parameter,decrease,операция,takt,absolute
снизь вентиляторы объем на 8%,update_parameter,decrease,вентилятор,quantity,percent
у Клапан червячный ВП-647 снизь время операции на 30 процентов,update_parameter,decrease,all,top,percent
у Цилиндр облегчённый P/N 265 снизь переналадка на 15%,update_parameter,decrease,all,setup_time,percent
"установи время переналадки: Перфоратор стальной КН409 5, Звёздочка усиленный Ф 839 2000",multi_set_parameter,set_multiple,all,setup_time,absolute
убавь загрузки у операция на 0.1,update_parameter,decrease,операция,kz,absolute
сгенерируй 5 новых позиций всех вентиляторов разного сечения,create_items,create,вентилятор,section,count
"у Болгарка свинцовый КН-922 стоимости 12, у Корпус промышленный СТ138 стоимости 1000",multi_set_parameter,set_multiple,all,cost,absolute
прибавь переналадки для сборки на 5,update_parameter,increase,сборка,setup_time,absolute
сделай ставку дисконтирования равным 4,set_parameter,set,all,discount_rate,absolute
повысь порог рентабельности у операция на 5,update_parameter,increase,операция,profitability_threshold,absolute
"у Манжета P/N773 поставь время операции 1.8, а у Опора червячный ВП125 1.8",multi_set_parameter,set_multiple,all,top,absolute
уменьши порог рентабельности у роботизированные операции на 7 процентов,update_parameter,decrease,роботизированная операция,profitability_threshold,percent
прибавь порог окупаемости роботизированные звенья на 30 процентов,update_parameter,increase,роботизированная операция,profitability_threshold,percent
нарасти такт выпуска у вентиляторов на 5,update_parameter,increase,вентилятор,takt,absolute
снизь kz на 25 процентов,update_parameter,decrease,all,kz,percent
поменяй начальные инвестиции для редукторам 5,set_parameter,set,редуктор,initial_investment,absolute
создай новые операции на основе ОП-4,copy_items,copy,операция,none,count
понизь у всех сборку приток на 5,update_parameter,decrease,сборка,inflow,absolute
подними ставку дисконтирования у сборки на 12%,update_parameter,increase,сборка,discount_rate,percent
"Ротор опорный КС952 объем выпуска 1500, Поршень механический СТ 973 объем выпуска 20, Кронштейн литой РЧ 305 объем выпуска 1.8",multi_set_parameter,set_multiple,all,quantity,absolute
сделай порог рентабельности на 3,set_parameter,set,all,profitability_threshold,absolute
измени для вентилятор базовые потери равным 0.8,set_parameter,set,вентилятор,base_loss,absolute
у Шестерня электрический КН 436 нарасти время операции на 2,update_parameter,increase,all,top,absolute
"установи объем: Корпус облегчённый КС223 9, Насос усиленный ВП-808 500",multi_set_parameter,set_multiple,all,quantity,absolute
уменьши операции сборки время обслуживания на 5 процентов,update_parameter,decrease,сборка,service_time,percent
"для Насос облегчённый РЭ 643 задай такт выпуска 5, для Корпус электрический Ф 645 18",multi_set_parameter,set_multiple,all,takt,absolute
сформируй 6 новых позиций операции сборки с разными параметрами,create_items,create,сборка,quantity,count
"Манжета литой ВП250 коэффициент загрузки 7, Опора сварной МУ 627 коэффициент загрузки 20",multi_set_parameter,set_multiple,all,kz,absolute
"Направляющая электрический АРТ 208 переналадка 8, Демпфер опорный ПП 649 переналадка 7, Втулка облегчённый Ф-497 переналадка 60",multi_set_parameter,set_multiple,all,setup_time,absolute
убавь редуктора порог рентабельности на 10,update_parameter,decrease,редуктор,profitability_threshold,absolute
снизь время наладки для вентилятор на 12%,update_parameter,decrease,вентилятор,setup_time,percent
установи доступный фонд времени у вентилятор равным 12,set_parameter,set,вентилятор,time_fund,absolute
задай время операции у всех паяльников 2.5,set_parameter,set,all,top,absolute
"Перфоратор стальной КН409 стоимость 6, Шуруповёрт облегчённый P/N602 1.2",multi_set_parameter,set_multiple,all,cost,absolute
повысь максимальное число станков роботизированную операцию на 1.5,update_parameter,increase,роботизированная операция,max_machines_per_robot,absolute
у Фланец Ф-200 уменьши время наладки в 3 раза,update_parameter,decrease,all,setup_time,factor
сделай порог окупаемости для вентилятор до 3.0,set_parameter,set,вентилятор,profitability_threshold,absolute
"Фланец торцевой ВП 365 загрузку 2, Плазморез электрический ПП703 60",multi_set_parameter,set_multiple,all,kz,absolute
убавь доп инвестиции у сборочные операции на 3%,update_parameter,decrease,сборка,additional_investment,percent
сделай для всех позиций такт выпуска 2.5,set_parameter,set,all,takt,absolute
покажи все записи которые есть,show_items,show,all,none,none
поменяй допустимое отклонение у сборочные операции равным 4,set_parameter,set,сборка,max_deviation,absolute
снизь редуктора стоимость на 30 процентов,update_parameter,decrease,редуктор,cost,percent
повысь выручка и эксплуатационные затраты у всех лобзиков на 7 процентов,update_parameter,increase,all,inflow,percent
"Кронштейн сварной СТ 780 загрузки 1.2, Кронштейн КО 771 6",multi_set_parameter,set_multiple,all,kz,absolute
Сепаратор гидравлический СТ359 такт производства до 3.0,set_parameter,set,all,takt,absolute
"Подшипник приводной МУ-147 стоимость 1000, Прокладка электрический В644 1200",multi_set_parameter,set_multiple,all,cost,absolute
убавь первоначальных инвестиций у сборки на 8%,update_parameter,decrease,сборка,initial_investment,percent
задай допустимое отклонение на 0.25,set_parameter,set,all,max_deviation,absolute
у Крышка свинцовый СТ 15 понизь коэффициент загрузки на 0.1,update_parameter,decrease,all,kz,absolute
"установи загрузку: Кронштейн литой УТ818 11, Корпус торцевой КО 933 1.8",multi_set_parameter,set_multiple,all,kz,absolute
"Кронштейн механический МУ 352 затраты 11, Генератор литой Z175 затраты 5, Крышка сварной Z712 затраты 3",multi_set_parameter,set_multiple,all,cost,absolute
у Золотник ЗЛ-4 увеличь такт производства на 20%,update_parameter,increase,all,takt,percent
сделай первоначальных инвестиций равным 4,set_parameter,set,all,initial_investment,absolute
прибавь переналадки и цену у всех редукторов на 15%,update_parameter,increase,all,setup_time,percent
"Лебёдка опорный АРТ 637 оперативное время 30, Шуруповёрт приводной АРТ 198 оперативное время 1200, Редуктор электрический РЧ 499 оперативное время 4.0",multi_set_parameter,set_multiple,all,top,absolute
нарасти редуктора фонд рабочего времени на 2,update_parameter,increase,редуктор,time_fund,absolute
"для ОП-1 поставь время переналадки 11, для ОП-4 1500",multi_set_parameter,set_multiple,операция,setup_time,absolute
у Домкрат паронитовый Z555 нарасти цену на 10 процентов,update_parameter,increase,all,cost,percent
"у Цилиндр стальной ПП-612 поставь стоимость 7, а у Корпус приводной Ф 496 100",multi_set_parameter,set_multiple,all,cost,absolute
